Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Employment in Services(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Female Employment in Services(%),Unemployment(%),Female Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Agriculture value added(%),Industry value added(%),Services value added(%),Expense(% of GDP),GDP per capita,GDP growth rate,Foreign Direct Investment,Exports of goods and services,Imports of goods and services,Male life expectancy,Female life expectancy,Inflation rate,Year,Country
31622704.0,15647752.0,15974952.0,39.601,7.478,9.0,19.5295086542325,47.7279987371512,32.742506431392,67.0561346448658,25.3125451402318,7.63132021490245,7.93,10.372,20146416757.5987,,62936900.2067644,4595531180.00041,22.8106627361766,20.4446053132561,52.6827434733525,42.0936844468805,637.087099117099,5.60074465863221,48311346.0,,,60.791,64.027,7.38577178397855,2013.0,Afghanistan
30560034.0,15127147.0,15432887.0,40.009,7.711,9.0,17.154523449935,50.4337758395886,32.4116862760608,69.3974118073881,23.3126435365349,7.28994465607705,7.856,10.325,19907329777.5872,,53931817.4381565,4855571648.43621,24.390873626371,21.1578071539751,50.5793979236606,42.3292514484608,651.417134470046,12.7522870926697,56823660.0,,,60.317,63.514,6.44121280934117,2012.0,Afghanistan
29347708.0,14532542.0,14815166.0,39.855,7.931,9.0,15.8227705054974,52.784792865023,31.3924517981469,72.8014375725874,20.4078609249115,6.79070150250112,7.784,10.253,17805098206.3141,,-23586775.0840476,4227582690.79689,23.7436639877543,22.7402524820273,49.6968203962567,59.4847758807514,606.694676337726,0.426354776777345,52173421.0,,,59.825,62.993,11.8041858089129,2011.0,Afghanistan
28284089.0,14011779.0,14272310.0,40.602,8.254,9.0,14.859119986692,54.5618800716177,30.5789999416902,75.012261844747,18.1104765396538,6.87726161559921,7.753,10.23,15856668555.8336,,29106508.4686418,4156043696.24108,26.2100685374552,21.1514206977128,48.8793769096891,50.8630045999057,560.621505463146,14.3624414710737,190774431.98,,,59.278,62.408,2.17853752389414,2010.0,Afghanistan
27466101.0,13612943.0,13853158.0,41.157,8.535,9.0,13.5837305819466,57.0509516045728,29.3653343305222,76.588820075871,15.432954116012,7.97832906206182,7.754,10.243,12416152732.0567,,-37811801.5379949,3637622477.63069,29.2975010547259,21.8971222069406,45.2444349261482,44.3178392396772,452.053705477043,21.3905283926492,56107246.5,,,58.82,61.892,-6.81116108898993,2009.0,Afghanistan
26482622.0,13131734.0,13350888.0,41.506,8.832,9.0,12.4186757786708,59.0112428140534,28.5700814072759,78.5102652988411,12.9773110687275,8.51231351337066,7.878,10.397,10109297047.5432,,-2101054.68453511,2516433516.78043,24.8922700059742,26.9156280026285,45.4098308716488,50.7192978736512,381.73323802844,3.92498381999467,46033740.0,,,58.172,61.529,26.4186641547445,2008.0,Afghanistan
25909852.0,12853489.0,13056363.0,43.858,9.359,6.0,11.8600391222661,60.1907517756168,27.9491912884999,78.5722926336963,11.9679536586125,9.45975370769119,7.817,10.337,9747886187.39393,,,2934602243.82149,30.1050113574013,26.8822416082148,40.294685221301,24.2432588226125,376.223152003876,13.8263195471281,,,,57.342,60.909,8.68057078513405,2007.0,Afghanistan
25424094.0,12618615.0,12805479.0,44.721,9.679,6.0,11.6346703097012,60.8938116273357,27.4715180629631,79.4760678362601,11.0989536457016,9.42497851803826,7.914,10.456,6971758282.29351,,,1996430511.50265,28.6359685844686,28.2107680719994,39.8310243252872,20.5781737687622,274.218553561575,5.35740324748592,,,,57.133,60.243,6.78459655001657,2006.0,Afghanistan
24404567.0,12119909.0,12284658.0,45.263,9.941,6.0,11.2277583851206,61.7035520555844,27.0686895592949,80.3827618082928,10.609285274394,9.00807937489488,7.885,10.428,6203256538.70967,,,1930134271.84251,31.114854912062,26.8120992326398,39.0077871841904,,254.184249149336,11.2297148272859,1500000.0,,,57.013,59.697,12.6862687216715,2005.0,Afghanistan
23560654.0,11709120.0,11851534.0,46.33,10.277,6.0,10.8088730169085,62.4699483373933,26.7211786456983,80.9542236779545,10.00383010196,9.04194622008558,7.899,10.447,5224896718.67782,,,1552895061.63349,29.7210671376957,26.2267897500666,41.1108953364243,,221.763653873013,1.41411799339429,-700000.0,,,56.658,59.216,,2004.0,Afghanistan
22733049.0,11306364.0,11426685.0,47.35,10.698,6.0,10.3404238369538,63.4815570476004,26.1780191154458,80.9118788995815,9.7424473612288,9.34581107862271,7.88,10.427,4520946818.54581,,,1691686554.69326,37.4188554431481,22.7108641828326,37.4448038407261,,198.871115728727,8.83227780288267,1000000.0,,,56.032,58.65,,2003.0,Afghanistan
21378117.0,10640919.0,10737198.0,48.201,11.28,6.0,10.0138980692638,64.1866885429726,25.7994133877636,82.4198633736206,9.70616570327553,7.87397092310387,7.93,10.483,3825701438.99963,,,1477787814.89031,38.6278918638443,23.8101270064854,36.1511545995992,,178.954088379235,28.6000011706788,,,,55.227,57.672,,2002.0,Afghanistan
20284307.0,10104514.0,10179793.0,48.979,11.713,6.0,9.83379251851523,65.0254492069124,25.1407582745724,82.7741217836219,9.30016570553377,7.9257125108443,7.953,10.508,2813571753.87253,,0.0,,,,,,138.706821676113,-9.4319740700862,,,,54.272,57.344,,2001.0,Afghanistan
20130327.0,10035682.0,10094645.0,49.664,12.096,6.0,9.68509479289398,65.6515965277614,24.6633086793447,82.9751221780865,9.12542600315643,7.8994518187571,7.935,10.483,3521418059.92345,,,,,,,,174.930991430166,,,,,53.762,56.858,,2000.0,Afghanistan
2745972.0,1388342.0,1357630.0,,,9.0,21.1843198719603,34.893422575994,43.9222575520457,39.9278360671888,16.7055458211066,43.3666181117046,10.108,10.376,23547179830.4413,,-300697184.162154,3819957150.42907,16.2225675343538,23.0184724953671,47.9574813038329,,8575.17113446213,3.93662525742167,1620982550.5431,38.6650817896799,43.8286028086077,,,4.75976421930107,2023.0,Albania
2777689.0,1404107.0,1373582.0,10.116,11.194,9.0,21.0082400375177,35.3568584620905,43.6348228140137,40.4798122016306,16.5207825633846,42.9994052349848,10.137,10.405,19017242585.7803,,-331218756.708533,3229979650.24702,16.9844794042968,23.0250575763314,46.2094062753043,,6846.42614266044,4.82668831434437,1441381891.41694,37.197084813482,47.5009791073865,74.502,79.472,6.72520271530048,2022.0,Albania
2811666.0,1420794.0,1390872.0,10.24,11.325,9.0,20.911457802804,36.0172105398259,43.0712501680717,41.3138063931081,16.4686465654047,42.2173656767173,11.474,11.678,18032010563.7558,12.0912891148772,-251172108.771252,3208472473.72488,17.7932042707089,22.4341151172329,45.2438427587085,24.3982953106337,6413.28328605026,8.96955339178935,1218586452.37158,31.1330200144264,44.4572960793289,74.087,79.173,2.04147163139549,2021.0,Albania
2837849.0,1433321.0,1404528.0,10.285,10.785,9.0,20.6416340686907,36.2649172971148,43.093531370174,41.2484150367268,16.4777033096621,42.2738816536111,11.69,11.648,15241458744.8688,-2.68525610686135,-250229603.313392,2866329744.13254,18.8061378645762,23.4687164167083,45.721349736043,24.6048161569975,5370.77862312929,-3.31371614712083,1069744879.65453,22.5407585571141,36.9799408832001,74.632,79.676,1.62088661717011,2020.0,Albania
